Nominal,Tanggal,Dompet,Kategori,Catatan,Prioritas
6000.0,2024-02-22,Cash,Makanan/Minuman,Nasi Bakar,Butuh
6000.0,2024-02-23,Cash,Makanan/Minuman,Nasi Bakar_Sarapan,Butuh
10000.0,2024-02-23,Cash,Makanan/Minuman,Batagor,Ingin
10000.0,2024-02-23,Cash,Makanan/Minuman,Sempol Ayam,Ingin
14000.0,2024-02-23,Livin,Makanan/Minuman,Warteg_Makan Siang,Butuh
8333.0,2024-02-23,Livin,Transportasi,Ojol,Butuh
10000.0,2024-02-23,Livin,Makanan/Minuman,Coklat,Ingin
6000.0,2024-02-24,Cash,Makanan/Minuman,Teh,Ingin
17000.0,2024-02-24,Cash,Makanan/Minuman,Ayam Geprek_Makan Malam,Butuh
14900.0,2024-02-24,Cash,Kebersihan,Detergen,Butuh
13000.0,2024-02-24,Livin,Makanan/Minuman,Warteg_Sarapan,Butuh
15900.0,2024-02-24,Cash,Kebersihan,Kapur Barus,Butuh
20000.0,2024-02-25,Livin,Makanan/Minuman,Kebab,Ingin
17000.0,2024-02-25,Cash,Makanan/Minuman,Warteg,Butuh
16000.0,2024-02-25,Cash,Makanan/Minuman,Warteg,Butuh
16000.0,2024-02-26,Cash,Makanan/Minuman,Nasi Goreng,Butuh
15000.0,2024-02-26,Livin,Makanan/Minuman,Warteg,Butuh
6000.0,2024-02-27,Cash,Makanan/Minuman,Nasi Bakar,Butuh
20000.0,2024-02-27,Cash,Makanan/Minuman,Nasi Ayam,Butuh
16000.0,2024-02-27,Cash,Makanan/Minuman,Warteg,Butuh
6000.0,2024-02-28,Cash,Makanan/Minuman,Nasi Bakar,Butuh
15000.0,2024-02-28,Livin,Makanan/Minuman,Mie,Butuh
4000.0,2024-02-29,Cash,Kebersihan,Pewangi Pakaian,Harus
5000.0,2024-02-29,Livin,Lainnya,Biaya Admin,Harus
2000.0,2024-02-29,Livin,Lainnya,Biaya Admin,Harus
20000.0,2024-02-29,Livin,Makanan/Minuman,Nasi Ayam,Butuh
